Admission_rate,Midpoint_of_SAT_scores_at_the_institution__math,In_state_tuition_and_fees,Out_of_state_tuition_and_fees,Average_faculty_salary,Average_cost_of_attendance__academic_year_institutions,Percentage_of_undergraduates_who_receive_a_Pell_Grant,Median_family_income,Control_of_institution,Completion_rate_for_first_time_full_time_target
15,26,44,73,91,29,18,-1,2,0
-1,-1,54,44,-1,-1,-1,-1,1,0
-1,-1,-1,-1,60,-1,-1,93,1,1
44,28,43,73,77,41,42,-1,2,0
49,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,45,29,-1,-1,-1,-1,1,0
-1,-1,26,50,35,11,30,-1,2,0
-1,-1,-1,-1,78,-1,-1,-1,1,0
-1,-1,11,8,34,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,77,73,18,67,84,-1,0,0
90,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,30,0,0
-1,-1,-1,-1,-1,-1,58,-1,0,0
90,-1,-1,-1,-1,-1,-1,-1,0,0
87,0,66,59,22,-1,76,-1,1,0
89,1,59,50,20,-1,-1,73,1,0
-1,-1,-1,-1,-1,-1,-1,0,0,0
-1,-1,65,58,35,-1,-1,-1,0,1
-1,-1,-1,-1,-1,-1,-1,48,0,0
74,17,58,73,77,-1,-1,-1,2,0
-1,-1,-1,-1,88,-1,54,-1,2,0
-1,-1,12,2,-1,-1,-1,17,2,0
-1,-1,16,37,60,23,81,-1,2,0
-1,-1,-1,-1,24,-1,-1,67,1,0
-1,-1,-1,-1,3,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,39,0,0
-1,-1,-1,-1,72,-1,-1,29,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,16,0,0
-1,-1,36,39,58,-1,50,-1,2,0
-1,-1,17,37,56,30,44,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,90,-1,20,-1,2,0
18,45,98,98,96,97,3,-1,1,1
-1,-1,-1,-1,-1,-1,90,-1,0,0
-1,-1,3,1,26,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,87,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,96,-1,5,-1,2,0
-1,-1,-1,-1,69,-1,-1,-1,2,0
-1,-1,-1,-1,95,-1,-1,0,1,0
-1,-1,23,40,61,27,52,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,29,-1,-1,-1,1,0
-1,-1,7,7,33,-1,-1,-1,2,0
69,34,84,81,60,-1,-1,93,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,19,-1,-1,81,0,0
44,18,71,65,51,-1,-1,69,1,1
-1,-1,13,5,-1,-1,-1,-1,2,0
-1,-1,73,67,33,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,77,72,-1,81,75,-1,0,0
84,23,59,50,43,-1,-1,-1,1,1
43,-1,50,36,17,-1,-1,13,0,0
-1,-1,23,8,44,-1,-1,-1,2,0
-1,-1,64,57,35,58,90,-1,0,0
-1,-1,33,12,-1,-1,-1,39,0,0
-1,-1,-1,-1,-1,-1,-1,26,0,0
-1,-1,2,7,83,-1,-1,-1,2,0
67,-1,54,43,9,-1,-1,29,0,0
-1,-1,-1,-1,-1,-1,54,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
