Admission_rate,Midpoint_of_SAT_scores_at_the_institution__math,In_state_tuition_and_fees,Out_of_state_tuition_and_fees,Average_faculty_salary,Average_cost_of_attendance__academic_year_institutions,Percentage_of_undergraduates_who_receive_a_Pell_Grant,Median_family_income,Control_of_institution,Completion_rate_for_first_time_full_time_target
-1,-1,-1,-1,-1,-1,-1,42,1,0
-1,-1,-1,-1,37,-1,-1,-1,1,0
-1,-1,-1,-1,54,-1,-1,64,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
42,18,49,76,67,-1,19,-1,2,0
-1,-1,-1,-1,-1,-1,99,-1,0,0
7,-1,97,97,87,90,26,-1,0,0
-1,-1,-1,-1,-1,-1,27,-1,0,0
-1,-1,-1,-1,-1,-1,51,-1,0,0
38,24,37,69,95,-1,-1,-1,2,0
-1,-1,-1,-1,77,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
48,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,8,0,0
-1,-1,-1,-1,-1,-1,99,-1,0,0
-1,-1,5,18,-1,-1,-1,-1,2,0
42,24,89,87,51,76,18,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,26,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,27,0,0
-1,-1,82,79,18,74,74,-1,0,0
-1,-1,79,75,83,75,-1,-1,0,0
-1,-1,24,7,67,25,47,-1,2,0
-1,-1,-1,-1,-1,-1,-1,69,0,0
-1,-1,12,8,31,-1,-1,60,2,0
90,2,36,49,58,20,46,-1,2,0
-1,-1,61,52,36,-1,-1,70,1,1
90,-1,56,46,8,-1,-1,31,0,0
-1,-1,-1,-1,-1,-1,71,-1,0,0
-1,-1,18,3,44,5,55,-1,2,0
-1,-1,8,14,65,-1,-1,-1,2,0
-1,-1,77,73,10,47,66,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,29,-1,-1,-1,1,0
1,4,59,50,29,-1,46,-1,1,0
-1,-1,18,16,30,-1,-1,48,2,0
70,43,85,83,77,-1,-1,96,1,1
-1,-1,8,2,19,-1,-1,60,2,0
-1,-1,-1,-1,17,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
49,-1,90,89,15,64,58,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
53,44,93,92,82,-1,-1,-1,1,1
-1,-1,-1,-1,21,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
71,5,82,79,67,-1,-1,76,1,0
18,16,75,70,33,-1,47,-1,1,1
-1,-1,-1,-1,82,-1,-1,-1,1,0
-1,-1,-1,-1,8,-1,-1,10,0,0
-1,-1,-1,-1,24,-1,-1,-1,2,0
90,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
21,19,26,27,86,-1,-1,46,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
90,-1,-1,-1,-1,-1,98,-1,0,0
-1,-1,72,67,65,57,68,-1,0,0
31,21,92,91,81,85,44,-1,1,0
44,23,89,88,84,88,8,-1,1,0
-1,-1,-1,-1,-1,-1,8,-1,0,0
-1,-1,-1,-1,-1,-1,-1,5,0,0
-1,-1,-1,-1,44,-1,-1,66,2,0
74,-1,-1,-1,-1,-1,74,-1,2,0
66,28,92,91,67,-1,-1,-1,1,1
-1,-1,26,8,70,-1,-1,-1,2,0
1,-1,-1,-1,-1,-1,-1,-1,0,0
32,-1,78,73,14,70,88,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,56,45,-1,-1,-1,-1,1,0
-1,-1,-1,-1,97,-1,-1,-1,1,0
90,-1,37,16,-1,-1,-1,-1,1,0
14,23,41,77,91,27,33,-1,2,1
-1,-1,26,56,50,17,46,-1,2,0
-1,-1,-1,-1,-1,-1,70,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,32,11,-1,-1,-1,0,0,0
41,30,43,71,74,-1,-1,-1,2,1
55,28,98,98,57,96,26,-1,1,1
-1,-1,17,15,46,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,5,1,27,-1,-1,45,2,0
-1,-1,22,22,40,-1,-1,-1,2,0
-1,-1,-1,-1,62,80,74,-1,0,0
-1,-1,-1,-1,-1,-1,-1,34,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,57,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,61,-1,0,0
71,-1,83,80,48,68,92,-1,0,0
-1,-1,-1,-1,-1,-1,19,-1,2,0
-1,-1,-1,-1,-1,-1,-1,6,0,0
-1,-1,-1,-1,-1,-1,-1,42,0,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,99,-1,0,0
-1,-1,-1,-1,37,-1,-1,-1,2,0
-1,-1,23,5,-1,-1,-1,-1,2,0
34,-1,90,89,36,87,32,-1,0,0
85,-1,38,18,6,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
60,17,96,96,67,93,16,-1,1,1
-1,-1,-1,-1,19,-1,-1,-1,0,0
79,-1,62,53,16,-1,-1,11,0,0
-1,-1,27,26,64,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,24,-1,-1,-1,1,0
-1,-1,21,29,51,-1,-1,-1,2,0
27,0,77,73,81,63,63,-1,1,0
-1,-1,-1,-1,74,-1,-1,-1,1,0
-1,-1,56,46,-1,-1,-1,-1,0,0
49,29,55,45,42,-1,-1,-1,1,0
-1,-1,59,50,28,-1,-1,-1,0,0
-1,-1,-1,-1,4,-1,63,-1,0,0
33,-1,-1,-1,18,-1,83,-1,0,0
33,46,91,90,80,-1,-1,96,1,1
-1,-1,-1,-1,74,-1,-1,95,1,1
-1,-1,-1,-1,-1,-1,52,-1,2,0
90,-1,-1,-1,70,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,16,0,0
-1,-1,-1,-1,46,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,56,-1,-1,74,1,0
-1,-1,24,7,44,-1,-1,-1,2,0
0,-1,-1,-1,-1,-1,-1,-1,2,0
41,21,96,96,92,-1,15,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,4,-1,-1,23,0,0
-1,-1,-1,-1,-1,-1,90,-1,0,0
-1,-1,-1,-1,-1,-1,94,-1,0,0
-1,-1,43,73,69,31,23,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,6,4,-1,-1,-1,-1,2,0
-1,-1,49,35,12,53,93,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
44,17,75,70,60,-1,-1,87,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
65,-1,33,11,20,23,93,-1,1,0
-1,-1,1,1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,84,0,0
14,-1,40,21,31,7,35,-1,1,0
-1,-1,-1,-1,17,57,61,-1,0,0
-1,-1,-1,-1,8,-1,-1,69,0,0
-1,-1,11,32,90,19,15,-1,2,0
62,30,95,95,78,89,61,-1,1,1
-1,-1,10,31,90,17,7,-1,2,0
-1,-1,-1,-1,-1,-1,-1,38,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,7,0,0
16,-1,29,9,9,-1,-1,-1,1,0
-1,-1,72,-1,-1,-1,-1,-1,0,0
-1,-1,11,24,48,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,66,-1,-1,54,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,48,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,41,23,-1,22,83,-1,2,0
68,10,37,60,64,-1,-1,-1,2,0
-1,-1,29,32,53,21,61,-1,2,0
-1,-1,40,21,-1,-1,68,-1,1,0
-1,-1,44,28,6,-1,-1,-1,0,0
-1,-1,-1,-1,58,-1,-1,45,2,0
-1,-1,-1,-1,-1,-1,38,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,57,-1,-1,-1,1,0
-1,-1,-1,-1,6,-1,5,-1,0,0
-1,-1,1,13,86,-1,-1,8,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,7,3,29,-1,-1,-1,2,0
-1,-1,-1,-1,78,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,50,-1,0,0
69,29,92,91,71,-1,15,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,35,-1,0,0
36,-1,28,43,73,-1,-1,73,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,28,-1,-1,-1,1,0
49,27,96,96,82,92,16,-1,1,1
-1,-1,-1,-1,-1,-1,3,-1,0,0
-1,-1,9,12,18,-1,-1,15,2,0
64,20,92,91,91,86,18,-1,1,1
-1,-1,30,9,-1,-1,-1,-1,2,0
-1,-1,-1,-1,46,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,16,44,69,-1,22,-1,2,0
83,-1,85,83,55,-1,-1,87,1,0
21,-1,33,11,10,-1,-1,13,1,0
45,41,95,94,85,89,15,-1,1,1
-1,-1,-1,-1,24,-1,-1,43,2,0
-1,-1,-1,-1,57,-1,-1,35,2,0
-1,-1,-1,-1,7,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,2,-1,-1,0,1,0
-1,-1,-1,-1,50,-1,-1,72,1,0
-1,-1,8,18,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,95,-1,0,0
-1,-1,52,40,-1,-1,-1,51,2,0
-1,-1,54,43,28,-1,-1,76,0,0
-1,-1,-1,-1,11,-1,-1,70,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
56,31,97,96,94,93,24,-1,1,1
21,20,89,88,49,75,70,-1,1,0
-1,-1,2,13,88,-1,-1,-1,2,0
-1,-1,28,42,77,-1,15,-1,2,0
-1,-1,-1,-1,-1,-1,80,-1,1,0
59,-1,67,61,22,60,96,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,30,30,40,-1,41,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,39,-1,-1,85,1,1
90,-1,-1,-1,-1,-1,65,-1,0,0
-1,-1,-1,-1,-1,-1,-1,14,0,0
57,-1,92,91,62,86,29,-1,1,1
-1,-1,17,68,89,-1,-1,-1,2,0
72,-1,48,34,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,2,-1,2,0
-1,-1,-1,-1,-1,-1,-1,16,0,0
-1,-1,-1,-1,46,-1,-1,92,1,1
-1,-1,-1,-1,43,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,40,2,0
-1,-1,63,55,21,48,83,-1,0,0
20,24,93,93,68,89,23,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,77,-1,-1,-1,1,0
-1,-1,73,68,19,60,81,-1,0,0
71,-1,72,67,65,-1,-1,-1,0,0
-1,-1,51,39,-1,-1,-1,-1,0,0
-1,-1,17,14,39,10,71,-1,2,0
13,-1,-1,-1,-1,-1,73,-1,1,0
-1,-1,-1,-1,-1,-1,-1,7,0,0
-1,-1,14,10,79,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,3,-1,-1,31,0,0
-1,-1,13,11,74,-1,-1,62,2,0
31,41,98,98,92,96,12,-1,1,1
-1,-1,-1,-1,94,-1,6,-1,2,0
11,43,85,83,66,-1,-1,-1,1,1
-1,-1,-1,-1,33,-1,-1,56,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
9,50,98,98,96,-1,-1,96,1,1
-1,-1,-1,-1,-1,-1,-1,20,0,0
-1,-1,3,2,26,7,22,-1,2,0
-1,-1,3,4,49,-1,-1,-1,2,0
-1,-1,29,10,68,18,46,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,13,-1,-1,81,1,0
-1,-1,-1,-1,43,-1,-1,-1,2,0
15,-1,52,40,73,-1,41,-1,1,0
-1,-1,-1,-1,14,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,39,-1,-1,80,2,0
-1,-1,-1,-1,-1,-1,-1,0,0,0
-1,-1,62,54,25,59,93,-1,0,0
-1,-1,68,61,63,82,32,-1,0,0
-1,-1,-1,-1,67,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,95,-1,0,0
-1,-1,-1,-1,-1,-1,-1,39,0,0
-1,-1,-1,-1,30,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,9,0,0
-1,-1,-1,-1,-1,-1,-1,9,2,0
52,26,27,37,62,25,38,-1,2,0
-1,-1,91,90,-1,-1,-1,-1,1,1
-1,-1,-1,-1,43,-1,-1,73,2,0
-1,-1,35,57,64,-1,28,-1,2,0
28,16,51,77,78,45,41,-1,2,0
-1,-1,-1,-1,-1,-1,24,-1,2,0
-1,-1,-1,-1,42,-1,-1,-1,2,0
75,-1,39,20,34,-1,-1,51,1,0
-1,-1,-1,-1,12,-1,-1,-1,0,0
-1,-1,10,25,43,-1,-1,-1,2,0
85,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,86,-1,-1,-1,1,0
52,24,91,90,74,-1,8,-1,1,1
-1,-1,-1,-1,-1,-1,75,-1,0,0
32,21,80,76,-1,-1,-1,90,1,0
-1,-1,74,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,50,37,58,56,60,-1,1,0
-1,-1,23,21,19,24,65,-1,2,0
90,-1,-1,-1,-1,-1,49,-1,2,0
-1,-1,-1,-1,-1,-1,91,-1,0,0
-1,-1,-1,-1,-1,-1,-1,53,0,0
-1,-1,-1,-1,-1,-1,-1,14,0,0
-1,-1,-1,-1,21,-1,-1,-1,2,0
20,30,14,43,-1,-1,-1,89,2,0
-1,-1,-1,-1,-1,-1,97,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,83,-1,1,0
-1,-1,72,66,12,65,92,-1,0,0
-1,-1,-1,-1,42,-1,-1,-1,2,0
-1,-1,23,44,58,-1,-1,-1,2,0
87,-1,80,77,-1,-1,-1,55,0,0
-1,-1,42,24,-1,5,87,-1,0,0
-1,-1,-1,-1,6,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,65,-1,0,0
-1,-1,67,60,2,67,64,-1,0,0
-1,-1,48,-1,-1,-1,-1,-1,1,0
-1,-1,53,41,7,-1,-1,-1,0,0
27,-1,58,49,25,-1,34,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
71,-1,15,3,0,-1,-1,3,2,0
-1,-1,-1,-1,-1,-1,49,-1,0,0
-1,-1,-1,-1,-1,-1,-1,6,0,0
25,41,88,86,70,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,11,0,0
-1,-1,-1,-1,44,-1,-1,39,2,0
-1,-1,70,64,64,-1,39,-1,1,0
9,37,93,93,71,-1,-1,97,1,1
65,-1,53,42,0,59,41,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,66,59,46,50,66,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,51,-1,-1,94,1,0
-1,-1,79,76,9,-1,-1,-1,0,1
-1,-1,-1,-1,11,-1,-1,22,2,0
39,43,89,87,88,-1,-1,-1,1,1
-1,-1,-1,-1,36,-1,-1,-1,2,0
-1,-1,44,27,30,-1,-1,-1,0,0
1,-1,-1,-1,-1,-1,-1,67,2,0
-1,-1,27,26,49,20,45,-1,2,0
-1,-1,-1,-1,1,-1,0,-1,1,0
-1,-1,-1,-1,-1,-1,-1,66,1,0
23,24,92,91,69,-1,-1,90,1,1
-1,-1,-1,-1,30,-1,-1,-1,2,0
-1,-1,17,30,68,-1,-1,18,2,0
-1,-1,13,4,46,1,47,-1,2,0
-1,-1,-1,-1,-1,-1,92,-1,0,0
13,-1,72,67,31,69,82,-1,0,1
80,-1,83,80,63,66,76,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,37,0,0
-1,-1,-1,-1,-1,-1,-1,3,0,0
-1,-1,-1,-1,22,-1,-1,-1,1,0
90,-1,33,12,6,-1,-1,-1,1,1
47,47,96,96,91,95,3,-1,1,1
30,-1,71,65,31,-1,73,-1,1,0
60,-1,98,98,16,-1,-1,96,1,0
-1,-1,-1,-1,-1,-1,-1,72,0,0
90,-1,-1,-1,73,85,46,-1,1,1
77,-1,91,90,56,79,60,-1,1,0
90,-1,57,47,50,50,37,-1,1,0
-1,-1,45,29,-1,-1,77,-1,1,0
37,27,66,59,35,-1,-1,-1,1,1
59,-1,-1,-1,-1,-1,1,-1,2,0
51,32,79,75,48,-1,-1,90,1,1
-1,-1,-1,-1,-1,-1,50,-1,0,0
-1,-1,-1,-1,-1,-1,-1,4,0,0
-1,-1,55,45,29,-1,-1,76,0,0
40,-1,33,60,86,13,22,-1,2,0
-1,-1,18,19,75,-1,-1,-1,2,0
-1,-1,71,65,79,85,49,-1,0,0
-1,-1,-1,-1,-1,-1,96,-1,1,0
-1,-1,3,15,33,-1,-1,-1,2,0
90,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,74,69,27,66,78,-1,0,0
-1,-1,-1,-1,-1,-1,-1,25,0,0
30,-1,72,66,44,-1,-1,54,0,0
-1,-1,79,76,19,-1,77,-1,0,0
-1,-1,76,72,28,66,85,-1,1,0
65,-1,85,83,76,67,59,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,0
90,-1,-1,-1,-1,-1,-1,46,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,51,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,15,-1,-1,-1,1,0
-1,-1,-1,-1,80,-1,-1,0,2,0
59,46,82,79,74,-1,-1,94,1,1
-1,-1,14,9,58,-1,-1,-1,2,0
-1,-1,5,0,-1,-1,-1,-1,2,0
22,53,90,89,96,-1,-1,-1,1,1
-1,-1,65,58,34,51,37,-1,0,1
-1,-1,-1,-1,-1,-1,-1,9,0,0
-1,-1,-1,-1,-1,-1,45,-1,2,0
-1,-1,-1,-1,-1,-1,32,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,5,0,0
-1,-1,-1,-1,-1,-1,59,-1,0,0
86,-1,30,9,2,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,16,-1,-1,-1,2,0
84,-1,14,15,0,-1,-1,68,2,0
-1,-1,42,75,-1,-1,-1,-1,2,0
90,-1,52,40,-1,-1,-1,68,0,0
42,-1,78,74,-1,-1,-1,73,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,93,-1,0,0
69,-1,83,80,41,68,78,-1,0,0
-1,-1,45,29,37,-1,-1,35,1,0
75,14,66,59,-1,-1,42,-1,1,0
22,11,88,86,40,80,49,-1,1,0
-1,-1,-1,-1,65,-1,1,-1,0,0
-1,-1,42,24,5,-1,-1,-1,0,0
-1,-1,31,52,68,-1,-1,54,2,0
37,-1,73,68,-1,70,24,-1,0,0
-1,-1,-1,-1,-1,-1,-1,1,0,0
-1,-1,-1,-1,-1,-1,92,-1,0,0
14,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,-1,-1,42,-1,-1,-1,1,0
10,-1,-1,-1,-1,-1,54,-1,0,0
62,21,18,36,69,-1,-1,89,2,0
-1,-1,-1,-1,68,-1,-1,66,2,0
-1,-1,6,6,45,-1,54,-1,2,0
-1,-1,16,43,-1,38,63,-1,2,0
-1,-1,-1,-1,13,-1,-1,71,0,0
-1,-1,-1,-1,89,-1,-1,-1,1,0
-1,-1,80,76,-1,-1,-1,-1,1,1
77,20,92,91,81,91,22,-1,1,1
-1,-1,87,86,-1,-1,99,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,27,0,0
22,29,32,63,72,22,10,-1,2,0
-1,-1,-1,-1,-1,-1,-1,65,0,0
-1,-1,10,31,90,18,16,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,1,0
90,18,80,76,70,-1,-1,93,1,0
90,-1,-1,-1,-1,-1,95,-1,0,0
-1,-1,-1,-1,40,-1,-1,-1,2,0
-1,-1,-1,-1,59,-1,-1,95,1,1
55,-1,84,81,51,-1,2,-1,1,0
-1,-1,-1,-1,-1,-1,9,-1,0,0
45,30,95,95,71,90,28,-1,1,1
-1,-1,-1,-1,24,-1,-1,61,2,0
-1,-1,68,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,5,-1,2,0
1,-1,-1,-1,-1,-1,43,-1,2,0
90,-1,-1,-1,-1,-1,-1,12,0,0
-1,-1,1,11,94,-1,-1,-1,2,0
62,20,40,68,76,-1,-1,80,2,0
55,-1,-1,-1,-1,-1,11,-1,0,0
90,12,64,56,24,-1,-1,-1,1,0
-1,-1,-1,-1,0,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,60,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,6,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,25,34,-1,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
90,-1,96,96,5,-1,-1,-1,0,0
-1,-1,19,4,8,-1,-1,-1,2,0
-1,-1,12,15,68,-1,-1,-1,2,0
-1,-1,-1,-1,0,-1,-1,-1,2,0
-1,-1,49,35,57,35,88,-1,0,0
-1,-1,-1,-1,-1,-1,87,-1,0,0
-1,-1,50,38,13,80,51,-1,0,0
-1,-1,76,71,-1,62,41,-1,0,0
-1,-1,-1,-1,89,-1,-1,-1,1,0
50,14,76,71,36,-1,8,-1,1,1
-1,-1,16,37,70,9,61,-1,2,0
-1,-1,15,11,38,3,69,-1,2,0
-1,-1,-1,-1,-1,-1,80,-1,0,0
-1,-1,15,41,-1,-1,-1,18,2,0
90,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,31,10,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,31,32,50,16,45,-1,2,0
-1,-1,-1,-1,48,-1,-1,72,2,0
-1,-1,-1,-1,-1,-1,-1,7,2,0
90,-1,-1,-1,8,-1,-1,18,0,0
-1,-1,64,57,-1,-1,-1,-1,0,0
82,-1,54,43,16,-1,-1,-1,0,0
-1,-1,71,65,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
-1,-1,16,28,49,-1,-1,30,2,0
-1,-1,25,42,58,-1,14,-1,2,0
88,23,36,47,94,22,35,-1,2,0
-1,-1,16,10,78,-1,-1,-1,2,0
4,57,99,99,98,98,3,-1,1,1
-1,-1,8,10,41,-1,-1,60,2,0
-1,-1,-1,-1,-1,-1,98,-1,0,0
-1,-1,3,1,22,-1,-1,11,2,0
15,52,99,99,94,98,11,-1,1,1
-1,-1,-1,-1,-1,-1,-1,8,0,0
-1,-1,16,18,20,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
48,24,84,82,69,-1,-1,-1,1,0
-1,-1,-1,-1,0,-1,-1,-1,1,0
90,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,26,36,83,22,54,-1,2,0
-1,-1,-1,-1,-1,-1,-1,32,0,0
-1,-1,63,54,13,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,1,1
52,38,93,92,82,86,10,-1,1,1
-1,-1,-1,-1,-1,-1,-1,0,0,0
-1,-1,42,24,1,6,94,-1,0,0
-1,-1,9,10,51,-1,-1,-1,2,0
78,-1,13,27,37,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,77,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,3,18,-1,-1,-1,-1,2,0
-1,-1,-1,-1,0,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,43,-1,0,0
-1,-1,-1,-1,-1,-1,26,-1,0,0
-1,-1,74,68,66,-1,-1,-1,0,0
-1,-1,73,68,15,81,87,-1,0,0
71,46,98,98,92,96,10,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,1,0
-1,-1,5,4,76,-1,-1,-1,2,0
67,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,23,-1,0,0
-1,-1,29,43,75,16,51,-1,2,0
-1,-1,-1,-1,22,-1,-1,73,2,0
-1,-1,-1,-1,80,-1,-1,-1,2,0
84,-1,83,80,60,68,81,-1,0,1
-1,-1,39,20,-1,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,34,-1,0,0
-1,-1,-1,-1,-1,-1,53,-1,0,0
90,-1,64,57,12,49,83,-1,0,0
-1,-1,6,3,38,-1,-1,28,2,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
41,30,61,81,95,73,14,-1,2,1
-1,-1,31,37,22,34,48,-1,2,0
-1,-1,-1,-1,89,-1,-1,94,2,1
-1,-1,-1,-1,38,-1,-1,18,2,0
75,18,38,45,80,21,29,-1,2,0
32,7,89,88,56,83,53,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
-1,-1,-1,-1,0,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,18,-1,2,0
-1,-1,-1,-1,-1,-1,-1,2,0,0
-1,-1,24,7,76,17,16,-1,2,0
-1,-1,25,33,63,16,19,-1,2,0
1,12,-1,-1,78,-1,10,-1,2,0
-1,-1,-1,-1,79,-1,-1,82,2,1
-1,-1,-1,-1,-1,-1,-1,21,0,0
-1,-1,-1,-1,7,-1,-1,-1,2,0
-1,-1,-1,-1,-1,-1,65,-1,0,0
-1,-1,30,46,55,-1,-1,88,2,0
-1,-1,-1,-1,-1,-1,97,-1,0,0
-1,-1,-1,-1,-1,-1,-1,71,1,0
-1,-1,-1,-1,88,-1,17,-1,2,0
-1,-1,14,2,4,-1,-1,-1,1,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0
37,-1,-1,-1,-1,-1,8,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,2,0
45,2,97,96,77,94,18,-1,1,0
-1,-1,40,67,82,34,41,-1,2,0
